question,short_answers
when is the last episode of season 8 of the walking dead,"March 18 , 2018"
in greek mythology who was the goddess of spring growth,"Persephone ( / pərˈsɛfəni / ; Greek : Περσεφόνη ) , also called Kore ( / ˈkɔːriː / ; `` the maiden '' )"
what is the name of the most important jewish text,the Shulchan Aruch
what is the name of spain's most famous soccer team,Real Madrid
when was the first robot used in surgery,1983
who sings the song i don't care i love it,Icona Pop and Charli XCX
who are uncle owen and aunt beru related to,Shmi
where is zimbabwe located in the world map,"in southern Africa , between the Zambezi and Limpopo Rivers , bordered by South Africa , Botswana , Zambia and Mozambique"
100 acres is equal to how many hectares,1 square hectometre ( hm )
where was donovan mitchell picked in the draft,13th
where did the beatles final live performance take place,the roof of the headquarters of the band 's multimedia corporation Apple Corps at 3 Savile Row
who is the president of costa rica 2017,Luis Guillermo Solís Rivera
when did power rangers tv show come out,"August 28 , 1993"
how many beverly hills cops movies are there,three
who holds the most women's wimbledon titles,Martina Navratilova
where does jinx you owe me a coke come from,Jinx is a children 's game with varying rules and penalties that occur when two people unintentionally speak the same word or phrase simultaneously
where does the last name hickey come from,Irish origin
where is the greatest royal rumble taking place,"Jeddah , Saudi Arabia"
who sang my name is tallulah in bugsy malone,Louise `` Liberty '' Williams
what is andy's sisters name in toy story,Molly
who sings with shaggy on it wasn me,English - Jamaican singer Rikrok
what is the largest catholic high school in america,St. Francis Preparatory School
who established the peoples republic of china in 1949,Mao Zedong
who sang take that look off your face,Marti Webb
who plays percy in the lost city of z,Charlie Hunnam
who plays the first lady on house of cards,Joanna C. Going
who owns st andrews golf course in scotland,The St Andrews Links Trust
which city and state hosts the annual college world series,"Omaha , Nebraska"
who is ted talking about in how i met your mother,Tracy McConnell
when does grey's anatomy season 14 premiere,"September 28 , 2017"
the partial pressure of carbon dioxide in arterial blood is approximately,at sea level ( 765 mmHg ) in arterial blood is between 35 mmHg and 45 mmHg
what was uncle jesse's original last name on full house,Cochran
who pays the judgements on the judge mathis show,Greg Mathis
who made up the elf on the shelf,Chanda Bell
who warned concord that the british were coming,Samuel Prescott
who lasted the longest on alone season 2,David McIntyre
where is the us military base in japan,"Yokota Air Base , Fussa , Western Tokyo"
who determines the size of the supreme court,Congress
who is the actor that plays lucifer on tv,Thomas John Ellis
who designed the national coat of arms of south africa,Iaan Bekker
when does model code of conduct come into force,immediately on announcement of the election schedule by the commission
when did now thats what i call music come out,28 November 1983
where is the 2018 grey cup being played,"The Brick Field at Commonwealth Stadium in Edmonton , Alberta"
where did the band bastille get their name,Bastille Day
where is arkansas river located on a map,"The Arkansas River flows through Colorado , Kansas , Oklahoma , and Arkansas , and its watershed also drains parts of Texas , New Mexico and Missouri ."
who plays nicholas in the princess diaries 2,Chris Pine
the p-wave phase of an electrocardiogram (ecg) represents,atrial depolarization
when did star trek the next generation first air,"September 28 , 1987"
who sang the most wonderful summer of my life,Jackie Ward
how many oscars did on golden pond win,three
who won season 4 of america's got talent,Kevin Skinner
how many episodes on queen of the south season 1,13
who is the existing prime minister of pakistan,Imran Khan
who is known as the father of texas,Stephen Fuller Austin
what is the orange stuff on my sushi,tobiko
when did nsw last won a state of origin series,2018
when does life is strange before the storm part 2,October 2017
where is sodom and gomorrah located in the bible,on the Jordan River plain in the southern region of the land of Canaan
when did the xbox 360 slim come out,in 2010
who spread the theory that one is a product of the mind and body,René Descartes
how many goals scored ronaldo in his career,over 670
who played tess on touched by an angel,"Delloreese Patricia Early ( July 6 , 1931 -- November 19 , 2017 ) , known professionally as Della Reese"
when did the hornets move to new orleans,2002 -- 03 season
fish appeared in the fossil record during the,the Cambrian explosion
who died from the band faith no more,singer Chuck Mosley
who signed the gun control act of 1968,President Lyndon B. Johnson
where do frankenstein and the monster first meet,the mountains
the human tendency to mimic other people’s behavior is an example of,Mirroring
when does season five of the killing come out,a fourth season consisting of six episodes to conclude the series
how is the head of the church of england,the monarch is the supreme governor
